"Specific Term","Generic Term","Associated Meeting","Proposer","Year of Proposal","Discoverer","Year of Discovery","Origin of Name","Additional Information","Coordinates","Secondary Coordinates"
"Açores Este","Fracture Zone","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"Named after the nearby Azores Archipelago.","Old name [See Laughton A.S. et al. 1975. Mid-Atlantique Ridge to South West of Europe, Sheet 3 (scale ½ 400 000 at 41° N) (C6568). Also J. F. LUIS et al. 1994. Earth and Planetary Sciences Letters, 125: 439-459. Also R. Searle, 1980, ESPL, 51: 4156439 (fig. 1, p. 416 )].","LINESTRING (-24.8833333333333 36.05, -23.6666666666667 36.1166666666667, -22.8 36.2166666666667)",
"Adak","Canyon",,,,,,,,"POINT (-177.083333 51.416667)",
"Adams","Seamount",,,,,,,,"POINT (-176.233333 50.016667)",
"Adana","Trough",,"RA. Sevket Güçlüer, Turkey",,,,,"Formerly, Adana (or Cilicia) Trough.","LINESTRING (32.833333 35.7, 33.916667 35.8)",
"Adare","Basin","SCUFN-20","Fred J. Davey, Institute of Geological & Nuclear Sciences, New Zealand",,,,"Named after the adjacent feature on land, Cape Adare.","Minimum depth: 2000 m; Maximum depth: 2200 m; Total relief: 200 m.","POINT (175 -71)",
"Adare","Trough","SCUFN-12","Steven C. Cande, Scripps Institution of Oceanography (SIO), USA",,"Palmer Survey",,"Named after the nearby land feature Cape Adare, which was named after an officer of the Ross expedition in the 1840s.",,"LINESTRING (171.5 -69, 172 -69.5, 173 -70.75)",
"Adelaide","Bank",,,,,,,"Noted on the INT Charts as ""(ED-1879),"" i.e. existence doubtful dating back to 1879.","POINT (56.783333 -6.583333)",
"Adieu","Canyon",,"J. J. Doyle, Australian Hydrographic Service (AHS)",,,,"Named after the adjacent Cape Adieu.","Taken from the AGSO Bathymetric Map ""Ceduna.""","LINESTRING (132.083333 -36.166667, 132.333333 -35)",
"Admiralteystvo","Rise","SCUFN-17","HDNO, Russian Federation",,"USSR Pacific Oceanographic Expedition",,,,"LINESTRING (50 73.866667, 59 77.716667)",
"Admiralteystvo","Trough","SCUFN-17","Galina V. Agapova, Geological Institute of the Russian Academy of Sciences (GIN RAS)",,"Icebreakers Ermak (1901), Polyarnaya (1911), Dmitry Solynsky (1910), Taymyr (1932-1938)",,"Named after the nearby Admiralteystvo Peninsula. This is the Russian spelling of ""Admiralty"", which was the former name of the Russian Navy.","Russian survey data was used for supporting contours. Track control and track density was not available. Contours similar to those on IBCAO sheet. Average spacing of soundings in this area was 5 km.","LINESTRING (51.0333 73.8333, 51.84356015625 74.27309296875, 53.01030859375 74.53153828125, 54.166070703125 75.240423046875, 57.1333 75.5833)",
"Adventure","Bank",,,,,,,,"POINT (12.283333 37.283333)",
"Aegir","Ridge",,,,,,,,"LINESTRING (-6.25 64.833333, -2 67.5)",
"Aegis","Spur","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"Name given by Dutch scientists, AEGIS is the name of a Dutch Research Vessel.","Outmost portion of Berthois Spur/Meriadzek Terrace system.","LINESTRING (-8.83332999999999 47.51667, -9.03287739999999 47.5396314, -9.2267032 47.5535266, -9.3521198 47.534999, -9.4615742 47.491742, -9.55833000000001 47.441669)",
"Afanasenkov","Seamount",,"Department of Navigation and Oceanography, Ministry of Defence, Russia",,"USSR Northern Fleet Hydrographic Expedition",,"The feature is named in memory of Fyodor Prokop'yevich Afanasenkov (1912-1988), a hydrographer who participated in 38 expeditions in the northern seas of the Arctic Ocean region. He participated in complex oceanographic research conducted by air expeditions in high latitudes.","Minimum depth: 1964 m; Maximum Depth: 3400-4400 m; Total relief: ~1436 m. The seamount has a gently sloping summit of irregular shape located on the west part of Gakkel Ridge. The southeast slope is dissected and steep; the west slope is gentle.","POINT (30 86.308333)",
"Afanasij Nikitin","Seamount","SCUFN-25","L. K. Zatonskij and V. F. Kanaev, Institute of Oceanology of the Russian Academy of Sciences (IO RAS)",,"R/V Vitiaz, 31st cruise",,"Named in memory of a XVth century Russian traveller, who in 1471-1474 reached the Indian Ocean, moving from Moscow through the Volga River, Caspian and Mediterranean seas, across Persia and Buchara. Afanasij Nikitin wrote a book entitled ""Voyaging on the Three Seas"".","Shown as Nikitin Seamount in ACUF Gazetteer.","POINT (83.0886732821778 -3.0339187976678)",
"Africana","Rise",,,,"South African fisheries research vessel ""Africana II""",,,"Shown as Bank in the ACUF Gazetteer.","POINT (42.5 -46)",
"Africana","Seamount","SCUFN-25","Eric S. W. Simpson and E. Forder, University of Cape Town, South Africa; and J. K. Mallory, South African Navy Hydrographic Office (SANHO)",,"South African fisheries research vessel ""Africana""",,,,"POINT (29.0511238590652 -37.2375784100885)",
"Agadir","Canyon",,,,,,,,"POINT (-11 30.666667)",
"Agafonov","Seamount",,"Department of Navigation and Oceanography, Ministry of Defence, Russia",,"USSR Northern Fleet Hydrographic Expedition",,"The feature is named in memory of Leonid Petrovich Agafonov (1914-1996), a hydrographer who for more than 35 years led and personally participated in hydrographic works in the northern seas of the Novaya Zemlya, Barents and White Seas.","Minimum depth: 1376 m; Maximum Depth: >3000 m; Total relief: ~1624 m. The seamount has an oval summit. The west slope is steep and slightly indented. It is located in the west part of Gakkel Ridge.","POINT (17.716667 85.175)",
"Agassiz","Fracture Zone",,,,,,,,"LINESTRING (-138 -40.5, -125 -38)",
"Agattu","Canyon",,,,,,,,"POINT (172.583333 52.383333)",
"Agerholm","Seamount",,,,,,,,"POINT (-135.516042073124 34.4144008457125)",
"Agostinho","Seamount","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"Named after the Azores geophysicist José Agostinho, author of many books, mainly on Azores meteorology (1st half of XXth Century). Example: O Clima dos Açores in Açoreana (1930-1940).",,"POINT (-27.2 38.1)",
"Agria","Bank",,,,,,,,"POINT (72.083333 16.5)",
"Aguila","Fracture Zone",,,,,,,"SCGN/10 was of the opinion that this feature might better be classed as a Ridge.","LINESTRING (-157 -29, -161 -22)",
"Águilas","Seamount",,,,,,,,"POINT (-0.716666666666667 37.2666666666667)",
"Agulhas","Bank",,,,,,,,"POINT (20.75 -35.333333)",
"Agulhas","Ridge","SCUFN-25","Eric S. W. Simpson, University of Cape Town (UCT), South Africa",,,,,"Shown as Cape Rise in ACUF Gazetteer.","LINESTRING (3.47528519766391 -44.5808941837598, 6.3627239755597 -43.9100750737437, 9.4105760188942 -42.8163482639345, 12.3417638691823 -41.6642893576025, 15.5500291779553 -40.2934850893085)",
"Agulhas","Plateau",,,,,,,,"POINT (26 -40)",
"Agulhas","Basin",,,,,,,,"LINESTRING (10 -46, 30 -46)",
"Aiguillon","Canyon","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"L' Aiguillon is a small town located on the Atlantic coast, NW of the city of La Rochelle, on the west coast of France.",,"LINESTRING (-3.635 45.771667, -3.72 45.586667)",
"Aix","Canyon","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"Aix is a small island located between the city of La Rochelle and Oleron island, off the western coast of France.",,"LINESTRING (-3.24 45.355, -3.5 45.336667)",
"Ajaccio","Canyon",,,,,,,,"POINT (8.616667 41.816667)",
"Akademii Nauk","Rise","SCUFN-15","Gleb B. Udintsev, Institute of Oceanology of the Russian Academy of Sciences (IO RAS), Institute of Oceanology, Russian Academy of Sciences (IO RAS), 
Nakhimovskiy pr., 36, Moscow, Russia, 117218",,"Russian research vessel ""Vityaz""",,"Named from the Russian Academy of Sciences which organized many expeditions to the northern part of the Pacific Ocean from 1949 to 1957.","Shown as AN Rise in ACUF Gazetteer.","POINT (150 49.5)",
"Akademik Fedorov","Canyon","SCUFN-12","Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,,,"Named after the Soviet Research Ship ""Akademik Fedorov"" which worked in this area in 1989.",,"LINESTRING (-35.8933 -74.1917, -35.1417 -73.81, -35.0167 -73.4317, -34.35 -73.2483, -32.7133 -71.3133)",
"Akademik Kurchatov","Fracture Zone","SCUFN-13","Aleksandr V. Zhivago, Institute of Oceanology of the Russian Academy of Sciences (IO RAS)",,"Russian research vessels ""Akademic Kurchatov"" and ""Dmitriy Mendeleev""",,"Named after the Russian R/V ""Akademik Kurchatov"" that closely investigated this feature.",,"LINESTRING (-130.5 -37, -125.166667 -36.666667, -120.5 -37.5)",
"Ake-No-Myojo","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Myojo""means, in Japanese, Venus seen before sunrise or after sunset.","Relief: 2400 m; Least depth: 1830 m.","POINT (136.801667 23.555)",
"Akhziv","Canyon",,,,,,,,"POINT (35 33.1)",
"Aki-No-Nanakusa","Seamounts","SCUFN-15","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Aki-No-Nanakusa"" means ""the seven flowers of autumn"" in Japanese.","The Aki-No-Nanakusa Seamounts encompass the following features: Fujibakama Seamount; Kuzuhana Seamount; Kikyo Seamount; Ominaeshi Seamount; Nadeshiko Seamount; Susuki Seamount; and Hagi Seamount.","LINESTRING (147.65 27.991667, 148.263333 28.366667, 149.245 29.116667)",
"Akitio","Ridge","SCUFN-26","New Zealand Geographic Board (NZGB), New Zealand Board of Geographical Names (NZGB),
GNS Science, 1 Fairway Drive Avalon, Lower Hutt, Wellington, New Zealand","2013",,,,"Adopted from NZGB Gazetteer","POINT (177.85 -40.8)",
"Akitio","Trough","SCUFN-26","New Zealand Geographic Board (NZGB), New Zealand Board of Geographical Names (NZGB),
GNS Science, 1 Fairway Drive Avalon, Lower Hutt, Wellington, New Zealand","2013",,,,"Adopted from NZGB Gazetteer","POINT (177.6667 -40.8333)",
"Akopov","Seamounts","SCUFN-25","HDNO, Russian Federation","2005","R/V Ob (Soviet Antarctic Expedition)","1957","Named from Eduard Nikolayevich Akopov (1926-1991), a Russian hydrographer who served in the Pacific Fleet. He conducted hydrographic research in the Sea of Japan, Sea of Okhotsk and Bering Sea.","Three seamounts with minimum depths of 476m, 726m and 1303m, respectively, and dissection over 1900 m.","POLYGON ((170.66 -66.8583, 170.6633 -67.195, 171.6717 -67.6267, 173.095 -68.4267, 173.1767 -68.4467, 173.9633 -68.6583, 174.175 -68.4967, 173.02 -67.9533, 171.6717 -67.2233, 170.66 -66.8583))",
"Aktivneset","Continental Slope",,,,,,,,"POINT (3.633333 62.466667)",
"Al'banov","Bank","SCUFN-14","Galina V. Agapova, Geological Institute of the Russian Academy of Sciences (GIN RAS)",,,,"Named in honor of Valerian I. Al'banov (1882-1919), navigator of the ship""Svyataya Anna,""and leader of the expedition of G. Brusilov (1912-1914) in the Arctic. Al'banov and fourteen sailors left the drifting ship near 83°N-60°E and after three months reached Cape Flora. Al'banov kept documents of the missing ship.","Minimum depth: 68 m.","LINESTRING (61.033333 76.533333, 67.166667 77.333333)",
"Alabe","Hill",,,,,,,,"POINT (7.333333 40.166667)",
"Alagoas","Seamounts",,,,,,,,"POINT (-34.25 -9.75)",
"Alaminos","Canyon","SCUFN-16","Lic. J. L. Frias Salazar, INEGI, Mexico and L. Taylor, NGDC, USA",,,,"Named after Texas A&M Research Ship ""Alaminos"".",,"LINESTRING (-94.6 26.583333, -94.433333 26.133333)",
"Alaska","Plain",,,,,,,,"POINT (-143 55)",
"Alba","Guyot","SCUFN-17","Galina V. Agapova, Geological Institute of the Russian Academy of Sciences (GIN RAS)",,,,"Named after Francisco Alba, a navigator and member of Magellan's expedition who kept an account of the expedition.","Minimum depth: 551 m. Total relief is over 5000 m. The Guyot is located in the central part of the Magellan Seamounts.","POINT (154.3 16.95)",
"Albacora","Caldera","SCUFN-13","Jean-René Vanney, University of Paris IV, France",,,,"Named after the Portuguese Hydrographic Survey ship Albacora (1924-1942).",,"POINT (-8.316667 -15.216667)",
"Albatros","Bank",,,,,,,,"POINT (-84.25 22.833333)",
"Albatross","Plateau",,,,,,,,"POINT (-103 10)",
"Albatross","Bank",,,,,,,,"POINT (-75.666667 17.7)",
"Albatross","Bank",,,,,,,,"POINT (-152.333333 56.166667)",
"Albert de Monaco","Ridge","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"In recognition of Prince Albert 1er of Monaco's work improving the knowledge of the Azores region.","Relief about 1400-1800 m. Common base below 1400 m. Ridge, not ""seamounts"" or ""seamount chain.""","LINESTRING (-33 36.4, -31.333333 37.316667, -29.816667 37.866667)",
"Alborán","Ridge",,,,,,,,"POINT (-3.216667 35.833333)",
"Alborán","Seachannel",,,,,,,"Shown as Alborán Channel in ACUF Gazetteer.","POINT (-3.283333 36)",
"Alborán","Basin",,,,,,,,"LINESTRING (-4.5 35.833333, -1.833333 36.416667)",
"Alcock","Rise","SCUFN-11","Joseph R. Curray, Scripps Institution of Oceanography (SIO), USA",,"Research vessels of the International Indian Ocean Expedition (IIOE)",,"A. Alcock (UK) made marine studies in the late 1800s. Author of ""A Naturalist in Indian Seas"", London, 1902. ",,"POINT (94.666667 12.5)",
"Alden","Seamount",,,,,,,,"POINT (-158.75 49.083333)",
"Aleutian","Ridge",,,,,,,,"POINT (-178 51.5)",
"Aleutian","Basin",,,,,,,,"POINT (-179.999 57)",
"Aleutian","Trench",,,,"U.S.S. Chelan",,,"Maximum depth: 7679 m at 50°51'N, 177°11'E (NOAA Chart: Kiska 1901N-1-1966).","MULTILINESTRING ((164.833333333 55, 165.1781889 54.68916834375, 165.7870378 54.286059, 166.4358472 54.0343658, 168.1026158 53.463861, 168.5836296 53.1058972, 169.5009118 52.8374244, 170.22522894375 52.68788165625, 171.424967 52.0543788, 172.3869946 51.8026856, 174.5 51.25, 175.6198546 51.0699784, 177.426453 50.600151, 178.7296648 50.3652374, 179.9999886 50.33333), (-180 50.3333, -170 51.25, -155 54.75))",
"Aleutian","Terrace",,,,,,,,"POINT (-179 50.666667)",
"Aleutian","Rise",,,,,,,,"POINT (175 50.25)",
"Alexa","Bank",,,,,,,,"POINT (175.333333 -11.583333)",
"Alexander","Seamount",,,,,,,,"POINT (-153.454307047838 18.9850655824464)",
"Alexander Agassiz","Guyot","SCUFN-24",,,,,"Named after Alexander Agassiz (1835-1910), a Swiss-born American marine zoologist, oceanographer, and mining engineer who made important contributions to systematic zoology, to the knowledge of ocean beds, and to the development of a major copper mine. In 1875 he surveyed Lake Titicaca, Peru, and made a collection of Peruvian antiquities for the Museum of Comparative Zoology, of which he was curator from 1874 to 1885. He assisted Charles Wyville Thomson in the examination and classification of the collections of the 1872 Challenger Expedition, and wrote the Review of the Echini (2 vols., 1872-1874) in the reports.","Adopted from the ACUF Gazetteer","POINT (178.507 17.995)",
"Alexandria","Canyon",,,,,,,,"POINT (30 31.716667)",
"Alfeo","Seamount",,,,,,,,"POINT (15.85 36.716667)",
"Alfil","Bank",,,,,,,,"POINT (12.333333 35.833333)",
"Alger","Canyons",,,,,,,,"POINT (3.466667 36.9)",
"Algerian","Basin",,,,,,,,"LINESTRING (-1.5 36, 0.972309599999988 37.1774622, 4 38)",
"Algerian-Tyrrhenian","Trough",,,,,,,,"POINT (9.75 38.5)",
"Algol","Seamount",,,,,,,,"POINT (-84.5 -2.25)",
"Alicante","Canyon",,,,,,,,"POINT (0.1 37.983333)",
"Alice","Shoal",,,,,,,,"POINT (-79.366667 16.083333)",
"Alice","Gap","SCUFN-11","Colombian Hydrographic Office (CIOH), Centro Investigaciones Oceanográficas e Hidrográficas Caribe",,"Colombian Hydrographic Office (CIOH), Centro Investigaciones Oceanográficas e Hidrográficas Caribe",,,"This feature is close to Alice Shoal.","POINT (-79.583333 16.066667)",
"Alidade","Bank",,,,,,,,"POINT (-1.516667 35.733333)",
"Alix","Seamount",,"Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"R/V Argo (SIO)","1968","Discovered by R/V Argo, Circe Expedition, Aug, 1968. Specific name commemorates the late Alix de Chazal Baissac, wife/colleague of 40-year Mauritius Fishery Officer-naturalist Jean De Baissac for whom Baissac Bank is named. For 5O years, the pair welcomed and provided significant aid to marine scientists who visited or did field work in the Mascarene region.",,"POINT (61.3745320636414 -17.5117871956044)",
"Allen","Guyot","SCUFN-11","Barbara H. Keating and Loren Kroenke, University of Hawaii at Manoa, USA",,"R/V Kana Keoki",,"Named after Mike H. Allen (1948-1978), HIG researcher lost at sea when the vessel""Holoholo""was lost during an oceanographic voyage.","Although this feature lies within the Hawaiian (USA) EEZ, it is particularly significant and may appear on the GEBCO.","POINT (174.083333 18.25)",
"Almeida Carvalho","Seamounts","SCUFN-13","Jean-René Vanney, University of Paris IV, France",,,,"Named after the Portuguese Hydrographic Survey Ship""Almeida Carvalho""(in commission since 1950).",,"POINT (-14.5 40.166667)",
"Almería","Canyon",,,,,,,,"POINT (-2.5 36.55)",
"Almirante Brown","Canyon",,,,,,,,"POINT (-57.916667 -45.416667)",
"Almirante Câmara","Seamount","SCUFN-21","Department of Navigation and Oceanography (DNO), Russia, Department of Navigation and Oceanography (DNO), Ministry of Defence. 11 liniya, B-34, 199034, St. Petersburg, Russian Federation",,"Brazilian survey vessel ""Almirante Câmara""",,"Named after the Brazilian research vessel ""Almirante Câmara"" that discovered this feature and has conducted many surveys on the Brazilian continental Margin since 1975. Almirante Antonio Alves Câmara Junior was one of the most important persons involved in the establishment of the Brazilian Hydrographic Service.","Minimum depth: 2500 m; Maximum depth: 5500 m; Total relief: 3000 m. The seamount has a conical shape.","POINT (-30.8772222222222 -13.1422222222222)",
"Almirante Leite","Bank",,"Eric S. W. Simpson and E. Forder, University of Cape Town (UCT), South Africa",,,,,,"POINT (-35.05 -26.166667)",
"Almirante Saldanha","Seamount",,,,,,,"Shown as Bank on INT Charts.","POINT (-37.583333 -22.333333)",
"Alpha","Ridge",,,,,,,"Shown as Cordillera in ACUF Gazetteer.","POINT (-120 85.5)",
"Alphecca","Seamount",,,,,,,,"POINT (-117.133333 18.333333)",
"Alsek","Valley",,,,,,,,"POINT (-139.5 58.5)",
"Altair","Seamount",,,,,,,,"POINT (-33.833333 44.583333)",
"Althoff","Seamount","SCUFN-16","Sonja Guetz, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,"German research vessel ""Polarstern""",,"Named after Friedrich Althoff (1839-1909), German lawyer and patron of the 1899 Valdivia Expedition led by Carl Chun.","Least depth: ~2890 m. Relief: ~1800 m.","LINESTRING (16.2 -66.263333, 16.98 -66.13)",
"Althorpe","Canyon",,"J. J. Doyle, Australian Hydrographic Service (AHS)",,,,"Named after the adjacent Althorpe Islands.","Taken from the AGSO Bathymetric Map ""Ceduna.""","LINESTRING (135.583333 -36.833333, 135.916667 -36.416667)",
"Alula-Fartak","Trough",,"Laughton, A. S.",,"Research ships, IIOE, 1961-1965",,,"Shown as Alula-Fartak Trench in ACUF Gazetteer.","LINESTRING (51.1667 13, 51.556223046875 13.6505572265625, 51.9465 14.3263, 52.1301 14.6258, 52.3333 14.8333)",
"Alvarado","Ridge",,,,,,,,"POINT (-83.5 -5.333333)",
"Alvares Cabral","Seachannel","SCUFN-13","Jean-René Vanney, University of Paris IV, France",,,,"Named after the Portuguese explorer (16th century).","Accepted as Seachannel instead of Trench (Portuguese: Fossa) suggested by the proposer.","POINT (-7.75 36.883333)",
"Alvaro Martins","Hill","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"Name of one of the first inhabitants of Azores Central Islands (Terceira).","Relief about 800 m. Accepted as ""Hill"" instead of ""Seamount"" suggested by the proposer.","POINT (-26.85 38.95)",
"Amadeus","Seamount","SCUFN-24","Ecuador Hydrographic Office (INOCAR), Instituto Oceanografico de la Armada (INOCAR), Avenida 25 de Julio, Via a Pto. Maritimo (Base Naval Sur), Casilla de Correos 5940 Guayaquil, Ecuador","2010","Not provided","2005","Named from the geological cruise Amadeus which took place in 2005, where bathymetric surveying, reflexion seismic and refraction seismic were carried out, in the area of North of Ecuador and South of Colombia. From this campaign and from sismogenetic sources, there have been explanations on the process of subduction in Ecuador.",,"POINT (-82.63 -2.26)",
"Amami","Rise","SCUFN-14",,,,,"Named after the nearby Amami Island.","Relief: 2400 m; Least depths: 1130, 1150 & 1730 m. Summit very irregular and feature extensive. Shown as Amami Plateau in ACUF Gazetteer and on Japanese charts.","LINESTRING (133.166667 28.583333, 132.291667 28.116667, 131 28.166667)",
"Amami","Calderas","SCUFN-25","Hisayoshi Yokose, Kumamoto University, Japan, Faculty of Science, Kumamoto University 2-39-1 Kurakami Chuoku, Kumamoto 860-8555, Japan","2012","Hisayoshi Yokose, Kumamoto Univ., Japan","2007","Named after the adjacent Amami Oshima Island, Japan.","This feature has an oval shape. References: Sato and Yokose (2007) Geochemical characteristics of the volcanic rocks from the Tokara islands, Ryukyu volcanic arc, Japan. AGU Fall Meeting V41D-0825.
Yokose et al. (2009) Regularly spaced submarine rhyolitic-calderas on the Tokara volcanic ridge, northern Ryukyu arc, Japan. EGU Meeting XY541, Geophysical Research Abstracts.vol. 11, EGU2009-2283-5.
Yokose et al. (2010) Mid-Pleistocene submarine acidic volcanism of the Tokara Islands, Japan. Jour. Geogr. 119, 46-68.
Yokose et al. (2010) Submarine volcanic front on the central Ryukyu arc. JpGU Meetng, SVC063-32.
Yokose et al. (2010) Evidence of recent hydrothermal activity in the Amami submarine caldera: discovery of Fe-Mn crusts enriched in As and Mo. JpGU Meeting, R219-008.
Ishibashi (2011) Natsushima cruise report NT11-15, Japan Agency for Marine-Earth Science and Technology, Yokosuka, Japan (http://www.godac.jamstec.go.jp/catalog/data/doc_catalog/media/NT11-15_all.pdf).","MULTIPOLYGON (((128.7772 28.606, 128.797 28.5618, 128.8117 28.5543, 128.8395 28.578, 128.8577 28.5952, 128.8423 28.6323, 128.8262 28.6492, 128.7902 28.6468, 128.7742 28.6253, 128.7772 28.606)), ((128.6983 28.4953, 128.7465 28.498, 128.7847 28.5182, 128.7862 28.56, 128.765 28.593, 128.7455 28.6098, 128.6953 28.5908, 128.6683 28.5735, 128.6692 28.5423, 128.6838 28.5098, 128.6983 28.4953)), ((128.6678 28.4678, 128.6863 28.4752, 128.6987 28.4863, 128.687 28.5028, 128.6642 28.501, 128.6532 28.4922, 128.6605 28.4768, 128.6678 28.4678)))",
"Amami Sankaku","Basin","SCUFN-20","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,"S/V Takuyo/Meiyo",,"Named after the nearby Amami Oshima Island.""Sankaku""means""triangle""in Japanese.","Minimum depth: 3000 m; Maximum depth: 5000 m; Total relief: 2000 m. The feature is a right-triangular shaped basin, with the right angle corner located at the southwest end. The basin is characterized by flat seafloor bordered by seamounts and ridges. ","LINESTRING (134 26.666667, 134 29)",
"Amazon","Cone",,,,,,,"Shown as Amazon Fan in ACUF Gazetteer.","POINT (-46.75 4.5)",
"Amazon","Canyons",,,,,,,"Formerly, Amazon Canyon.","POINT (-48.5 3.5)",
"Ambalema","Gap","SCUFN-11","Colombian Hydrographic Office (CIOH), Centro Investigaciones Oceanográficas e Hidrográficas Caribe",,"Colombian Hydrographic Office (CIOH), Centro Investigaciones Oceanográficas e Hidrográficas Caribe",,"""Ambalena""is an Indian name.",,"LINESTRING (-80.866667 14.5, -80 13.916667)",
"Ameghino","Canyon",,,,,,,,"POINT (-57.333333 -43.333333)",
"Amendolara","Bank",,,,,,,,"POINT (16.716667 39.866667)",
"Amery","Basin",,,,,,,,"POINT (74.5 -68.25)",
"Amfitríti","Bank",,,,,,,,"POINT (24.35 38.966667)",
"Amirante","Banks","SCUFN-13",,,,,"Named from the nearby Amirante Islands.","Shown as Amirante Ridge in ACUF Gazetteer.","LINESTRING (53.349998 -4.75, 53.1741968 -5.7059478, 52.7814346 -6.6866488, 52.7742058 -7.4022954, 53.005526 -8.01673940000001, 53.1428722 -8.4576934, 53.333328 -8.66667)",
